time_h,edges_found
0.0169,14546
0.0369,15043
0.0567,15330
0.0764,15582
0.0964,15711
0.1161,15954
0.1358,16206
0.1558,16394
0.1753,16431
0.1953,16457
0.2153,16587
0.2350,16811
0.2547,16818
0.2744,16924
0.2944,16993
0.3144,17144
0.3342,17215
0.3542,17279
0.3742,17357
0.3936,17391
0.4136,17415
0.4333,17427
0.4531,17469
0.4731,17601
0.4928,17715
0.5125,17892
0.5322,17999
0.5522,18060
0.5722,18099
0.5919,18159
0.6117,18353
0.6319,18395
0.6517,18443
0.6717,18512
0.6914,18552
0.7114,18801
0.7314,18814
0.7511,18822
0.7708,18832
0.7906,18918
0.8103,18955
0.8300,18999
0.8497,19060
0.8697,19071
0.8892,19131
0.9092,19196
0.9289,19220
0.9486,19253
0.9683,19273
0.9881,19302
1.0078,19348
1.0278,19361
1.0475,19377
1.0672,19481
1.0869,19505
1.1069,19507
1.1264,19532
1.1461,19586
1.1661,19665
1.1858,19680
1.2056,19684
1.2256,19707
1.2456,19714
1.2653,19720
1.2850,19768
1.3047,19770
1.3244,19785
1.3442,19795
1.3642,19801
1.3839,19807
1.4039,19817
1.4236,19852
1.4436,19880
1.4633,19884
1.4831,19913
1.5028,19923
1.5225,19929
1.5425,19942
1.5625,19985
1.5822,19992
1.6019,20002
1.6217,20037
1.6414,20054
1.6608,20060
1.6806,20061
1.7008,20065
1.7206,20084
1.7403,20090
1.7600,20152
1.7797,20171
1.7997,20198
1.8194,20202
1.8389,20204
1.8586,20204
1.8783,20211
1.8981,20218
1.9175,20231
1.9372,20236
1.9572,20238
1.9769,20246
1.9967,20339
2.0161,20375
2.0361,20379
2.0558,20400
2.0753,20403
2.0950,20410
2.1147,20414
2.1344,20426
2.1544,20431
2.1742,20436
2.1939,20437
2.2136,20440
2.2336,20464
2.2533,20475
2.2731,20487
2.2928,20493
2.3125,20502
2.3322,20506
2.3519,20506
2.3719,20510
2.3917,20525
2.4117,20525
2.4314,20527
2.4511,20541
2.4711,20547
2.4908,20552
2.5106,20555
2.5303,20557
2.5503,20663
2.5700,20664
2.5897,20666
2.6097,20669
2.6294,20669
2.6494,20671
2.6692,20685
2.6892,20690
2.7092,20712
2.7292,20713
2.7489,20714
2.7689,20714
2.7889,20714
2.8089,20743
2.8286,20790
2.8486,20845
2.8686,20885
2.8886,20899
2.9081,20914
2.9278,20920
2.9475,20922
2.9672,20923
2.9869,20942
3.0067,20951
3.0267,20954
3.0464,20971
3.0664,20979
3.0864,20983
3.1061,20985
3.1261,20992
3.1461,21005
3.1658,21031
3.1856,21109
3.2053,21113
3.2253,21113
3.2453,21125
3.2653,21151
3.2850,21172
3.3050,21195
3.3247,21210
3.3444,21512
3.3644,21528
3.3842,21544
3.4042,21551
3.4242,21583
3.4439,21590
3.4636,21609
3.4836,21611
3.5033,21612
3.5233,21621
3.5431,21625
3.5631,21635
3.5828,21649
3.6028,21649
3.6228,21651
3.6428,21659
3.6628,21674
3.6828,21678
3.7028,21678
3.7225,21678
3.7425,21684
3.7622,21721
3.7822,21721
3.8022,21721
3.8222,21722
3.8425,21722
3.8625,21730
3.8822,21732
3.9022,21732
3.9219,21736
3.9419,21737
3.9617,21737
3.9817,21750
4.0014,21757
4.0214,21757
4.0414,21759
4.0611,21775
4.0811,21775
4.1011,21775
4.1208,21789
4.1406,21789
4.1603,21789
4.1803,21790
4.2000,21797
4.2197,21816
4.2397,21845
4.2594,21845
4.2794,21846
4.2994,21848
4.3192,21864
4.3392,21864
4.3594,21864
4.3792,21869
4.3992,21870
4.4189,21873
4.4389,21885
4.4589,21906
4.4789,21923
4.4989,21928
4.5189,21928
4.5389,21941
4.5586,21990
4.5786,21994
4.5986,21995
4.6186,22029
4.6389,22029
4.6586,22029
4.6783,22030
4.6983,22033
4.7181,22042
4.7381,22042
4.7578,22043
4.7775,22054
4.7975,22070
4.8175,22128
4.8372,22135
4.8572,22145
4.8769,22149
4.8969,22149
4.9167,22149
4.9364,22154
4.9564,22158
4.9761,22166
4.9961,22175
5.0158,22182
5.0358,22183
5.0558,22187
5.0756,22196
5.0953,22203
5.1153,22212
5.1353,22218
5.1553,22227
5.1750,22231
5.1950,22233
5.2147,22234
5.2347,22254
5.2544,22256
5.2744,22266
5.2944,22271
5.3144,22279
5.3342,22279
5.3542,22283
5.3742,22285
5.3939,22287
5.4142,22287
5.4339,22289
5.4539,22290
5.4739,22299
5.4939,22417
5.5139,22419
5.5336,22431
5.5536,22431
5.5733,22431
5.5933,22432
5.6131,22432
5.6331,22434
5.6528,22436
5.6728,22441
5.6925,22445
5.7125,22445
5.7325,22458
5.7522,22458
5.7722,22466
5.7922,22472
5.8119,22477
5.8319,22477
5.8519,22477
5.8719,22477
5.8917,22480
5.9117,22510
5.9314,22511
5.9514,22521
5.9711,22522
5.9911,22523
6.0111,22523
6.0167,22523
