gen_index,union_edges,best_edges
-1,16427,15432
0,21889,15461
1,22550,14715
2,22866,14938
3,23083,15824
4,23374,15978
5,23504,16007
6,23633,16349
7,23723,15740
8,23813,16240
9,23875,15540
10,23916,15228
11,23979,15683
12,24004,16246
13,24042,16000
14,24089,16256
15,24193,15223
16,24254,16341
17,24289,16197
18,24361,16388
19,24392,16437
20,24439,16124
21,24516,15502
22,24566,15957
23,24580,16423
24,24616,15971
25,24637,16045
26,24700,16267
27,24735,15418
28,24759,16126
29,24774,16545
30,24787,16796
31,24822,16665
32,24843,16280
33,24853,15399
34,24867,15770
35,24887,15588
36,24892,16604
37,24906,16644
38,24918,16489
39,24937,16226
40,24954,16802
41,24973,16794
42,24987,15960
43,24992,16289
44,25025,16128
45,25031,15922
46,25042,16304
47,25057,16067
48,25061,16302
49,25073,16391
50,25108,16977
51,25134,16368
52,25141,15465
53,25157,15658
54,25179,15788
55,25204,16297
56,25225,16542
57,25233,15652
58,25246,16443
59,25254,16389
60,25261,16146
