time_h,edges_found
0.0169,19885
0.0372,20371
0.0569,20625
0.0769,20706
0.0967,20739
0.1167,20746
0.1364,20767
0.1564,20814
0.1761,20961
0.1958,21051
0.2158,21152
0.2358,21178
0.2558,21271
0.2758,21287
0.2956,21315
0.3156,21388
0.3356,21409
0.3556,21479
0.3756,21508
0.3956,21614
0.4153,21683
0.4353,21696
0.4553,21703
0.4750,21716
0.4947,21764
0.5147,21785
0.5347,21832
0.5544,21880
0.5744,21910
0.5942,21920
0.6142,21948
0.6342,21965
0.6542,22007
0.6742,22027
0.6939,22137
0.7136,22162
0.7336,22171
0.7536,22189
0.7733,22213
0.7933,22241
0.8133,22317
0.8331,22322
0.8531,22343
0.8731,22356
0.8928,22370
0.9125,22416
0.9322,22444
0.9522,22467
0.9722,22505
0.9922,22520
1.0122,22536
1.0319,22544
1.0519,22566
1.0722,22571
1.0919,22605
1.1119,22609
1.1319,22644
1.1517,22647
1.1717,22650
1.1917,22671
1.2114,22733
1.2311,22736
1.2511,22743
1.2708,22787
1.2906,22824
1.3103,22835
1.3306,22839
1.3503,22873
1.3700,22886
1.3900,22903
1.4100,22908
1.4297,22919
1.4497,22928
1.4697,22933
1.4897,22936
1.5094,22939
1.5294,22986
1.5494,22995
1.5692,23000
1.5892,23001
1.6092,23027
1.6292,23048
1.6492,23056
1.6689,23061
1.6889,23065
1.7089,23072
1.7289,23113
1.7489,23121
1.7689,23159
1.7889,23169
1.8089,23175
1.8289,23179
1.8486,23183
1.8689,23196
1.8886,23204
1.9086,23210
1.9286,23212
1.9483,23232
1.9681,23247
1.9883,23254
2.0081,23258
2.0281,23291
2.0481,23294
2.0681,23298
2.0881,23321
2.1081,23350
2.1281,23363
2.1478,23373
2.1678,23381
2.1875,23382
2.2072,23417
2.2269,23429
2.2469,23497
2.2667,23500
2.2867,23508
2.3064,23513
2.3264,23523
2.3461,23539
2.3661,23543
2.3858,23575
2.4058,23582
2.4256,23589
2.4456,23594
2.4656,23601
2.4856,23601
2.5056,23606
2.5253,23612
2.5453,23624
2.5653,23633
2.5853,23636
2.6050,23642
2.6250,23648
2.6450,23649
2.6650,23662
2.6847,23662
2.7047,23666
2.7244,23666
2.7444,23693
2.7644,23699
2.7842,23699
2.8039,23706
2.8239,23716
2.8439,23735
2.8639,23755
2.8839,23756
2.9039,23759
2.9239,23759
2.9436,23761
2.9636,23766
2.9836,23769
3.0033,23777
3.0233,23794
3.0436,23796
3.0633,23804
3.0833,23805
3.1033,23805
3.1231,23806
3.1428,23815
3.1628,23818
3.1825,23828
3.2025,23828
3.2222,23828
3.2422,23831
3.2619,23834
3.2819,23840
3.3017,23840
3.3217,23846
3.3417,23858
3.3617,23872
3.3814,23876
3.4014,23877
3.4211,23881
3.4411,23883
3.4611,23886
3.4811,23886
3.5014,23893
3.5214,23893
3.5411,23895
3.5611,23896
3.5811,23896
3.6008,23898
3.6208,23899
3.6406,23900
3.6606,23921
3.6806,23924
3.7003,23924
3.7206,23924
3.7406,23924
3.7606,23925
3.7806,23927
3.8006,23927
3.8203,23928
3.8400,23934
3.8600,23936
3.8803,23937
3.9003,23941
3.9200,23941
3.9394,23941
3.9592,23941
3.9792,23943
3.9992,23947
4.0189,23948
4.0386,23950
4.0586,23953
4.0783,23954
4.0981,23954
4.1181,23968
4.1378,23972
4.1578,23975
4.1775,23975
4.1972,23982
4.2169,23983
4.2367,23983
4.2564,23990
4.2761,24003
4.2961,24003
4.3158,24003
4.3353,24009
4.3550,24009
4.3750,24011
4.3947,24011
4.4144,24012
4.4344,24013
4.4539,24036
4.4736,24040
4.4936,24040
4.5133,24059
4.5331,24060
4.5531,24060
4.5728,24083
4.5925,24089
4.6122,24094
4.6319,24103
4.6517,24105
4.6714,24107
4.6911,24107
4.7108,24107
4.7308,24111
4.7506,24111
4.7703,24111
4.7897,24111
4.8094,24114
4.8294,24114
4.8489,24116
4.8686,24120
4.8883,24122
4.9081,24128
4.9278,24142
4.9478,24144
4.9675,24144
4.9869,24145
5.0069,24146
5.0269,24146
5.0467,24146
5.0664,24150
5.0861,24151
5.1061,24155
5.1258,24158
5.1453,24158
5.1653,24158
5.1850,24161
5.2047,24161
5.2244,24161
5.2444,24161
5.2642,24161
5.2839,24162
5.3036,24166
5.3236,24167
5.3436,24173
5.3633,24175
5.3831,24175
5.4028,24177
5.4228,24177
5.4428,24184
5.4625,24187
5.4822,24188
5.5019,24188
5.5217,24188
5.5417,24188
5.5614,24189
5.5811,24190
5.6011,24190
5.6208,24193
5.6406,24211
5.6603,24218
5.6797,24220
5.6997,24225
5.7197,24226
5.7394,24226
5.7594,24226
5.7792,24226
5.7992,24228
5.8192,24234
5.8392,24246
5.8589,24247
5.8789,24254
5.8989,24254
5.9189,24254
5.9386,24258
5.9586,24258
5.9786,24271
5.9986,24276
6.0167,24277
