gen_index,union_edges,best_edges
0,15389,15099
1,16187,15230
2,16642,15282
3,16642,15328
4,16678,15221
5,16672,15340
6,16827,15281
7,16958,15256
8,17040,15305
9,17070,15368
10,17649,15690
11,17819,16039
12,18142,16134
13,18353,15726
14,18475,16299
15,18520,16193
16,18376,16599
17,18801,16286
18,18869,16581
19,18901,16592
20,18859,16201
21,18906,16623
22,19003,16786
23,19152,17058
24,19226,16963
25,19275,16564
26,19251,16745
27,19228,16584
28,19183,16679
29,19181,17033
30,19343,16849
31,19435,16835
32,19555,16895
33,19588,16780
34,19569,16630
35,19629,16939
36,19662,16780
37,19640,16947
38,19577,17046
39,19697,16924
40,19599,16910
41,19788,17531
42,19803,16871
43,19694,16865
44,19675,16933
45,19748,16828
46,19681,16921
47,19507,16876
48,19641,16896
49,19742,16768
50,19745,16740
51,19780,16862
52,19844,16992
53,19908,16938
54,19965,16888
55,20054,16930
56,20120,16770
57,20042,17217
58,19995,17217
59,20012,17191
60,19951,17272
61,20041,17128
62,20076,17622
63,20080,17283
64,20107,17296
65,20132,17300
66,20078,17363
67,20193,17587
68,20274,17306
69,20167,17761
70,20283,17256
71,20123,17251
72,20249,17561
73,20205,17763
74,20238,17357
75,20254,17251
76,20346,17562
77,20360,17616
78,20261,17615
79,20302,17709
80,20152,17316
81,20161,17267
82,20415,17573
83,20208,17616
84,20407,17580
85,20247,17187
86,20206,17146
87,20266,17654
88,20340,17570
89,20224,17612
90,20269,17514
91,20436,17517
92,20372,17285
93,20396,17217
94,20399,17509
