time_h,edges_found
0.0169,625
0.0367,641
0.0567,641
0.0767,641
0.0964,650
0.1164,650
0.1364,650
0.1561,650
0.1761,664
0.1958,667
0.2158,667
0.2358,667
0.2556,667
0.2756,667
0.2953,667
0.3153,667
0.3350,667
0.3550,667
0.3747,667
0.3947,667
0.4144,667
0.4342,667
0.4542,667
0.4739,667
0.4939,667
0.5136,667
0.5336,667
0.5533,667
0.5731,667
0.5928,667
0.6128,667
0.6325,667
0.6522,667
0.6719,667
0.6919,667
0.7117,667
0.7314,667
0.7514,667
0.7711,667
0.7908,667
0.8106,667
0.8306,667
0.8503,667
0.8703,667
0.8900,667
0.9100,667
0.9297,667
0.9494,667
0.9692,667
0.9889,667
1.0089,667
1.0286,667
1.0483,667
1.0681,667
1.0881,667
1.1078,667
1.1275,667
1.1472,667
1.1669,667
1.1869,667
1.2067,667
1.2264,667
1.2461,667
1.2661,667
1.2858,667
1.3056,667
1.3253,667
1.3453,667
1.3650,667
1.3847,667
1.4044,667
1.4244,667
1.4442,667
1.4639,667
1.4836,667
1.5033,667
1.5233,667
1.5431,667
1.5628,667
1.5825,667
1.6025,667
1.6222,667
1.6419,667
1.6617,667
1.6817,667
1.7014,667
1.7211,667
1.7408,667
1.7606,667
1.7806,667
1.8003,667
1.8200,667
1.8397,667
1.8594,667
1.8794,667
1.8992,667
1.9189,667
1.9386,667
1.9586,667
1.9783,667
1.9981,667
2.0178,667
2.0378,667
2.0575,667
2.0772,667
2.0969,667
2.1167,667
2.1367,667
2.1564,667
2.1761,667
2.1958,667
2.2158,667
2.2356,667
2.2553,667
2.2750,667
2.2950,667
2.3147,667
2.3344,667
2.3542,667
2.3742,667
2.3939,667
2.4136,667
2.4333,667
2.4531,667
2.4728,667
2.4928,667
2.5125,667
2.5322,667
2.5519,667
2.5717,667
2.5914,667
2.6111,667
2.6308,667
2.6508,667
2.6706,667
2.6903,667
2.7100,667
2.7297,667
2.7494,667
2.7692,667
2.7889,667
2.8086,667
2.8286,667
2.8483,667
2.8681,667
2.8878,667
2.9078,667
2.9275,667
2.9472,667
2.9669,667
2.9867,667
3.0064,667
3.0264,667
3.0461,667
3.0658,667
3.0856,667
3.1053,667
3.1250,667
3.1450,667
3.1647,667
3.1844,667
3.2042,667
3.2239,667
3.2436,667
3.2633,667
3.2831,667
3.3028,667
3.3225,667
3.3422,667
3.3622,667
3.3819,667
3.4017,667
3.4214,667
3.4411,667
3.4611,667
3.4808,667
3.5006,667
3.5203,667
3.5403,667
3.5600,667
3.5797,667
3.5997,667
3.6194,667
3.6392,667
3.6589,667
3.6789,667
3.6986,667
3.7183,667
3.7383,667
3.7581,667
3.7778,667
3.7978,667
3.8175,667
3.8372,667
3.8572,667
3.8769,667
3.8967,667
3.9167,667
3.9364,667
3.9561,667
3.9758,667
3.9956,667
4.0156,667
4.0353,667
4.0550,667
4.0747,667
4.0947,667
4.1144,667
4.1342,667
4.1542,667
4.1739,667
4.1936,667
4.2136,667
4.2333,667
4.2531,667
4.2728,667
4.2925,667
4.3125,667
4.3322,667
4.3519,667
4.3717,667
4.3914,667
4.4114,667
4.4311,667
4.4508,667
4.4708,667
4.4906,667
4.5103,667
4.5300,667
4.5497,667
4.5697,667
4.5894,667
4.6092,667
4.6289,667
4.6489,667
4.6686,667
4.6883,667
4.7081,667
4.7281,667
4.7478,667
4.7675,667
4.7875,667
4.8072,667
4.8269,667
4.8467,667
4.8664,667
4.8864,667
4.9061,667
4.9258,667
4.9458,667
4.9656,667
4.9853,667
5.0053,667
5.0250,667
5.0447,667
5.0644,667
5.0844,667
5.1042,667
5.1239,667
5.1436,667
5.1636,667
5.1833,667
5.2031,667
5.2228,667
5.2428,667
5.2625,667
5.2822,667
5.3019,667
5.3219,667
5.3417,667
5.3614,667
5.3811,667
5.4011,667
5.4208,667
5.4406,667
5.4603,667
5.4800,667
5.5000,667
5.5197,667
5.5394,667
5.5592,667
5.5792,667
5.5989,667
5.6186,667
5.6383,667
5.6581,667
5.6781,667
5.6978,667
5.7175,667
5.7372,667
5.7572,667
5.7769,667
5.7967,667
5.8164,667
5.8364,667
5.8561,667
5.8758,667
5.8956,667
5.9153,667
5.9353,667
5.9550,667
5.9747,667
5.9944,667
6.0142,667
6.0167,667
