gen_index,union_edges,best_edges
-1,330,284
0,545,345
1,566,358
2,576,355
3,582,360
4,588,365
5,590,349
6,592,381
7,592,365
8,594,359
9,598,369
10,600,372
11,600,372
12,600,365
13,600,383
14,600,383
15,600,383
16,601,394
17,601,383
18,601,383
19,602,370
20,602,376
21,602,383
22,602,382
23,602,395
24,602,385
25,604,383
26,604,383
27,607,383
28,607,392
29,607,383
30,610,365
31,610,388
32,610,383
33,610,383
34,610,387
35,610,372
36,611,383
37,611,374
38,611,386
39,612,388
40,612,383
41,612,398
42,615,374
43,615,383
44,616,385
45,616,384
46,616,379
47,616,384
48,616,387
49,622,382
50,622,384
51,622,383
52,622,382
53,623,383
54,623,383
55,623,385
56,624,383
57,624,382
58,624,388
59,624,388
60,624,388
61,624,398
62,624,406
63,624,382
64,624,395
65,624,390
66,624,383
67,624,391
68,624,398
69,625,387
