time_h,edges_found
0.0169,617
0.0369,617
0.0567,617
0.0767,633
0.0964,633
0.1164,633
0.1361,633
0.1561,637
0.1758,655
0.1958,664
0.2158,664
0.2358,664
0.2556,664
0.2756,664
0.2956,664
0.3156,666
0.3353,667
0.3553,667
0.3753,667
0.3953,667
0.4150,667
0.4350,667
0.4550,667
0.4750,667
0.4950,667
0.5147,667
0.5347,667
0.5547,667
0.5747,667
0.5944,667
0.6144,667
0.6344,667
0.6544,667
0.6742,667
0.6942,667
0.7139,667
0.7339,667
0.7536,667
0.7736,667
0.7933,667
0.8133,667
0.8331,667
0.8531,667
0.8728,667
0.8928,667
0.9125,667
0.9322,667
0.9522,667
0.9719,667
0.9919,667
1.0117,667
1.0317,667
1.0514,667
1.0714,667
1.0911,667
1.1111,667
1.1308,667
1.1508,667
1.1706,667
1.1906,667
1.2103,667
1.2303,667
1.2500,667
1.2700,667
1.2897,667
1.3094,667
1.3294,667
1.3494,667
1.3694,667
1.3892,667
1.4092,667
1.4289,667
1.4489,667
1.4686,667
1.4886,667
1.5083,667
1.5283,667
1.5481,667
1.5681,667
1.5878,667
1.6078,667
1.6275,667
1.6475,667
1.6672,667
1.6872,667
1.7069,667
1.7267,667
1.7467,667
1.7667,667
1.7864,667
1.8061,667
1.8261,667
1.8458,667
1.8658,667
1.8856,667
1.9053,667
1.9253,667
1.9450,667
1.9650,667
1.9847,667
2.0044,667
2.0244,667
2.0442,667
2.0639,667
2.0839,667
2.1036,667
2.1233,667
2.1433,667
2.1631,667
2.1831,667
2.2028,667
2.2225,667
2.2425,667
2.2622,667
2.2819,667
2.3017,667
2.3214,667
2.3414,667
2.3611,667
2.3808,667
2.4008,667
2.4206,667
2.4403,667
2.4603,667
2.4800,667
2.5000,667
2.5197,667
2.5394,667
2.5594,667
2.5792,667
2.5989,667
2.6189,667
2.6386,667
2.6583,667
2.6783,667
2.6981,667
2.7178,667
2.7375,667
2.7575,667
2.7772,667
2.7969,667
2.8169,667
2.8367,667
2.8564,667
2.8761,667
2.8958,667
2.9158,667
2.9356,667
2.9553,667
2.9753,667
2.9950,667
3.0150,667
3.0347,667
3.0544,667
3.0742,667
3.0942,667
3.1139,667
3.1336,667
3.1533,667
3.1733,667
3.1931,667
3.2128,667
3.2328,667
3.2525,667
3.2722,667
3.2919,667
3.3117,667
3.3317,667
3.3514,667
3.3714,667
3.3911,667
3.4108,667
3.4308,667
3.4506,667
3.4703,667
3.4903,667
3.5100,667
3.5297,667
3.5494,667
3.5694,667
3.5892,667
3.6089,667
3.6289,667
3.6486,667
3.6683,667
3.6883,667
3.7081,667
3.7278,667
3.7475,667
3.7675,667
3.7872,667
3.8069,667
3.8269,667
3.8467,667
3.8664,667
3.8861,667
3.9061,667
3.9258,667
3.9458,667
3.9656,667
3.9853,667
4.0050,667
4.0250,667
4.0447,667
4.0644,667
4.0842,667
4.1042,667
4.1239,667
4.1436,667
4.1633,667
4.1833,667
4.2031,667
4.2228,667
4.2428,667
4.2625,667
4.2822,667
4.3022,667
4.3219,667
4.3417,667
4.3617,667
4.3814,667
4.4011,667
4.4211,667
4.4408,667
4.4606,667
4.4806,667
4.5003,667
4.5200,667
4.5400,667
4.5597,667
4.5794,667
4.5992,667
4.6189,667
4.6389,667
4.6586,667
4.6783,667
4.6981,667
4.7181,667
4.7378,667
4.7575,667
4.7772,667
4.7972,667
4.8169,667
4.8367,667
4.8564,667
4.8761,667
4.8958,667
4.9158,667
4.9356,667
4.9553,667
4.9750,667
4.9947,667
5.0144,667
5.0342,667
5.0542,667
5.0739,667
5.0936,667
5.1133,667
5.1331,667
5.1528,667
5.1728,667
5.1925,667
5.2122,667
5.2319,667
5.2517,667
5.2714,667
5.2911,667
5.3111,667
5.3308,667
5.3506,667
5.3703,667
5.3900,667
5.4097,667
5.4294,667
5.4494,667
5.4692,667
5.4889,667
5.5086,667
5.5283,667
5.5483,667
5.5681,667
5.5878,667
5.6078,667
5.6275,667
5.6472,667
5.6669,667
5.6867,667
5.7064,667
5.7264,667
5.7461,667
5.7658,667
5.7856,667
5.8053,667
5.8253,667
5.8450,667
5.8647,667
5.8844,667
5.9042,667
5.9242,667
5.9439,667
5.9636,667
5.9833,667
6.0031,667
6.0167,667
