gen_index,union_edges,best_edges
0,278,221
1,389,322
2,419,336
3,440,329
4,475,335
5,499,329
6,506,393
7,533,424
8,540,417
9,553,416
10,543,412
11,546,423
12,548,424
13,553,429
14,547,410
15,561,432
16,565,435
17,567,424
18,563,426
19,565,435
20,573,426
21,568,424
22,570,409
23,568,445
24,574,438
25,569,453
26,570,436
27,571,448
28,570,451
29,569,457
30,567,454
31,567,456
32,571,452
33,573,453
34,572,448
35,572,448
36,567,457
37,572,446
38,574,456
39,569,453
40,571,444
41,574,456
42,566,455
43,571,447
44,574,448
45,571,451
46,570,452
47,571,450
48,569,456
49,575,449
50,576,457
51,569,456
52,565,447
53,568,451
54,575,448
55,568,453
56,569,451
57,577,453
58,568,451
59,570,449
60,572,451
61,574,455
62,573,448
63,580,448
64,569,443
65,574,453
66,571,450
67,573,452
68,571,451
69,578,451
70,570,449
71,570,447
72,574,453
73,577,448
74,573,450
75,575,454
76,574,455
77,574,452
78,572,452
79,575,448
80,574,452
81,577,451
82,574,450
83,574,452
84,575,454
85,570,460
86,569,458
87,571,442
88,571,458
89,574,453
90,571,447
91,576,447
92,576,450
93,566,451
94,571,442
95,577,448
96,572,447
97,576,453
98,577,451
99,576,456
100,570,454
101,571,446
102,571,453
103,574,448
104,577,447
105,572,445
106,569,449
107,578,452
108,571,451
109,572,451
110,576,450
111,575,448
112,572,450
113,575,448
114,572,452
115,571,452
116,574,451
117,576,452
118,577,443
119,574,444
120,572,453
121,573,447
122,573,454
123,576,450
124,575,445
125,574,456
126,571,452
127,568,452
128,572,450
129,577,443
130,576,451
131,568,454
132,572,453
133,574,451
134,575,448
135,571,447
136,575,451
137,572,448
138,572,450
139,576,451
140,578,457
141,574,450
142,573,452
143,574,451
144,573,451
145,572,442
146,570,441
147,572,454
148,576,443
149,575,449
150,570,451
151,573,448
152,577,448
153,570,448
154,571,450
155,576,448
156,577,449
157,573,443
158,569,451
159,577,449
160,572,445
161,571,453
162,574,442
163,573,452
164,573,452
165,575,449
166,575,452
167,578,446
168,577,451
169,572,448
170,570,444
171,575,447
172,579,454
173,570,447
174,571,455
175,577,453
176,573,448
177,576,452
178,575,450
179,574,448
180,575,457
181,569,445
182,576,455
183,573,459
184,569,450
185,571,447
186,574,450
187,579,453
188,577,453
189,576,447
190,583,451
191,573,457
192,574,448
193,576,448
194,579,453
195,575,449
196,577,446
197,574,451
198,576,449
199,575,453
200,577,453
201,575,446
202,574,445
203,576,451
204,573,455
205,575,453
206,576,449
207,578,444
208,574,449
209,577,447
210,574,452
211,578,448
212,576,450
213,570,446
214,574,450
215,575,448
216,572,447
217,575,452
218,576,448
219,574,451
220,577,449
221,571,448
222,574,444
223,571,446
224,575,448
225,570,453
226,576,450
227,580,447
228,579,455
229,579,450
230,577,448
231,575,448
232,576,452
233,575,450
234,578,449
235,579,450
236,575,445
237,577,439
238,575,451
239,572,446
240,573,452
241,578,450
242,576,454
243,577,445
244,576,446
245,576,455
246,580,446
247,577,447
248,579,444
249,575,446
250,575,440
251,573,451
252,577,456
253,576,447
254,579,449
255,578,446
256,580,449
257,577,453
258,579,449
259,574,443
260,580,451
261,582,453
262,578,449
263,579,452
264,584,453
265,574,451
266,580,451
267,574,451
268,579,450
269,573,452
270,573,455
271,577,451
272,578,447
273,581,448
274,580,450
275,578,452
276,579,451
277,578,447
278,573,453
279,573,451
280,580,455
281,579,450
282,576,457
283,576,450
284,572,452
285,582,453
286,578,454
287,573,453
288,575,443
289,579,454
290,578,444
291,580,463
292,578,447
293,578,442
294,574,452
295,576,450
296,573,451
