# relative_time, cycles_done, cur_item, corpus_count, pending_total, pending_favs, map_size, saved_crashes, saved_hangs, max_depth, execs_per_sec, total_execs, edges_found
61, 0, 108, 393, 392, 8, 10.90%, 0, 0, 2, 158.91, 11148, 14546
66, 0, 108, 407, 406, 8, 10.96%, 0, 0, 2, 158.88, 11952, 14626
71, 0, 108, 421, 420, 8, 11.07%, 0, 0, 2, 159.13, 12771, 14761
76, 0, 108, 430, 429, 8, 11.09%, 0, 0, 2, 157.80, 13563, 14794
81, 0, 108, 440, 439, 8, 11.10%, 0, 0, 2, 158.89, 14373, 14811
86, 0, 108, 447, 446, 8, 11.13%, 0, 0, 2, 159.19, 15201, 14842
92, 0, 108, 458, 457, 8, 11.14%, 0, 0, 2, 159.13, 16008, 14864
97, 0, 108, 464, 463, 8, 11.15%, 0, 0, 2, 159.32, 16836, 14871
102, 0, 108, 468, 467, 8, 11.16%, 0, 0, 2, 159.49, 17640, 14881
107, 0, 108, 477, 476, 8, 11.18%, 0, 0, 2, 159.48, 18468, 14910
112, 0, 132, 489, 487, 153, 11.20%, 0, 0, 2, 159.00, 19289, 14945
117, 0, 339, 493, 490, 152, 11.21%, 0, 0, 3, 158.98, 20085, 14949
122, 0, 339, 499, 496, 152, 11.26%, 0, 0, 3, 156.26, 20898, 15017
128, 0, 339, 509, 506, 152, 11.27%, 0, 0, 3, 158.22, 21717, 15037
133, 0, 339, 514, 511, 152, 11.28%, 0, 0, 3, 158.73, 22515, 15043
138, 0, 339, 521, 518, 152, 11.31%, 0, 0, 3, 158.67, 23328, 15087
143, 0, 339, 523, 520, 152, 11.32%, 0, 0, 3, 158.72, 24153, 15102
148, 0, 339, 526, 523, 152, 11.35%, 0, 0, 3, 158.63, 24948, 15142
153, 0, 339, 530, 527, 152, 11.36%, 0, 0, 3, 158.60, 25761, 15149
158, 0, 339, 536, 533, 152, 11.37%, 0, 0, 3, 158.79, 26577, 15167
163, 0, 339, 539, 536, 152, 11.38%, 0, 0, 3, 158.85, 27378, 15179
168, 0, 339, 543, 540, 152, 11.43%, 0, 0, 3, 158.80, 28182, 15252
173, 0, 339, 546, 543, 152, 11.44%, 0, 0, 3, 158.78, 28983, 15261
178, 0, 339, 546, 543, 152, 11.44%, 0, 0, 3, 158.88, 29808, 15261
184, 0, 339, 552, 549, 152, 11.46%, 0, 0, 3, 158.70, 30621, 15281
189, 0, 339, 556, 553, 152, 11.48%, 0, 0, 3, 158.80, 31425, 15315
194, 0, 339, 558, 555, 152, 11.49%, 0, 0, 3, 158.80, 32250, 15323
199, 0, 339, 562, 559, 152, 11.49%, 0, 0, 3, 158.75, 33051, 15329
204, 0, 0, 564, 560, 182, 11.49%, 0, 0, 3, 159.57, 33875, 15330
209, 0, 0, 564, 560, 182, 11.49%, 0, 0, 3, 160.22, 34700, 15330
214, 0, 398, 569, 563, 180, 11.51%, 0, 0, 3, 159.32, 35505, 15358
219, 0, 398, 578, 572, 180, 11.52%, 0, 0, 3, 158.63, 36309, 15368
224, 0, 398, 589, 583, 180, 11.53%, 0, 0, 3, 158.42, 37101, 15385
229, 0, 398, 598, 592, 180, 11.55%, 0, 0, 3, 158.50, 37911, 15407
235, 0, 398, 605, 599, 180, 11.55%, 0, 0, 3, 158.60, 38727, 15412
240, 0, 398, 607, 601, 180, 11.55%, 0, 0, 3, 158.75, 39531, 15413
245, 0, 398, 611, 605, 180, 11.56%, 0, 0, 3, 158.67, 40332, 15417
250, 0, 398, 620, 614, 180, 11.56%, 0, 0, 3, 157.33, 41139, 15427
255, 0, 398, 625, 619, 180, 11.57%, 0, 0, 3, 155.43, 41919, 15430
260, 0, 398, 632, 626, 180, 11.65%, 0, 0, 3, 156.42, 42714, 15537
265, 0, 398, 637, 631, 180, 11.65%, 0, 0, 3, 158.08, 43512, 15540
270, 0, 398, 643, 637, 180, 11.68%, 0, 0, 3, 158.49, 44319, 15580
275, 0, 398, 650, 644, 180, 11.68%, 0, 0, 3, 158.56, 45129, 15582
280, 0, 398, 653, 647, 180, 11.68%, 0, 0, 3, 158.69, 45924, 15584
285, 0, 398, 658, 652, 180, 11.68%, 0, 0, 3, 158.62, 46734, 15586
290, 0, 398, 660, 654, 180, 11.70%, 0, 0, 3, 158.67, 47535, 15612
295, 0, 398, 663, 657, 180, 11.71%, 0, 0, 3, 158.61, 48336, 15614
301, 0, 398, 666, 660, 180, 11.71%, 0, 0, 3, 158.69, 49161, 15614
306, 0, 398, 689, 683, 180, 11.71%, 0, 0, 3, 158.13, 49973, 15616
311, 0, 398, 698, 692, 180, 11.71%, 0, 0, 3, 157.75, 50783, 15617
316, 0, 398, 706, 700, 180, 11.71%, 0, 0, 3, 158.05, 51599, 15619
321, 0, 398, 718, 712, 180, 11.72%, 0, 0, 3, 157.97, 52406, 15630
326, 0, 398, 723, 717, 180, 11.72%, 0, 0, 3, 155.89, 53204, 15634
332, 0, 443, 727, 719, 216, 11.73%, 0, 0, 3, 148.30, 53918, 15653
337, 0, 443, 738, 730, 216, 11.76%, 0, 0, 3, 156.44, 54732, 15691
342, 0, 443, 749, 741, 216, 11.77%, 0, 0, 3, 158.17, 55530, 15702
347, 0, 443, 759, 751, 216, 11.78%, 0, 0, 3, 157.23, 56322, 15711
352, 0, 443, 761, 753, 216, 11.78%, 0, 0, 3, 158.36, 57117, 15711
357, 0, 443, 767, 759, 216, 11.79%, 0, 0, 3, 158.62, 57921, 15721
362, 0, 443, 770, 762, 216, 11.85%, 0, 0, 3, 158.41, 58722, 15807
367, 0, 443, 776, 768, 216, 11.85%, 0, 0, 3, 158.72, 59541, 15813
372, 0, 443, 784, 776, 216, 11.86%, 0, 0, 3, 158.72, 60345, 15820
377, 0, 443, 789, 781, 216, 11.86%, 0, 0, 3, 158.56, 61146, 15822
382, 0, 443, 794, 786, 216, 11.86%, 0, 0, 3, 158.71, 61944, 15824
387, 0, 443, 799, 791, 216, 11.87%, 0, 0, 3, 158.71, 62745, 15834
392, 0, 443, 803, 795, 216, 11.87%, 0, 0, 3, 158.90, 63546, 15834
