generation,gen_index,candidates,added,replaced,discarded,discarded_redundant,discarded_no_coverage,discarded_missing,cumulative_added,cumulative_replaced
initial,-1,5,5,0,0,0,0,0,5,0
gen0,0,1000,328,2,670,670,0,0,333,2
gen1,1,1000,123,2,875,875,0,0,456,4
gen2,2,1000,86,5,909,909,0,0,542,9
gen3,3,1000,63,4,933,933,0,0,605,13
gen4,4,1000,43,6,951,951,0,0,648,19
gen5,5,1000,41,1,958,958,0,0,689,20
gen6,6,1000,38,1,961,961,0,0,727,21
gen7,7,1000,25,1,974,974,0,0,752,22
gen8,8,1000,34,0,966,966,0,0,786,22
gen9,9,1000,23,2,975,975,0,0,809,24
gen10,10,1000,21,3,976,976,0,0,830,27
gen11,11,1000,22,3,975,975,0,0,852,30
gen12,12,1000,10,1,989,989,0,0,862,31
gen13,13,1000,15,2,983,983,0,0,877,33
gen14,14,1000,23,1,976,976,0,0,900,34
gen15,15,1000,18,5,977,977,0,0,918,39
gen16,16,1000,16,4,980,980,0,0,934,43
gen17,17,1000,18,5,977,977,0,0,952,48
gen18,18,1000,11,3,986,986,0,0,963,51
gen19,19,1000,12,1,987,987,0,0,975,52
gen20,20,1000,11,3,986,986,0,0,986,55
gen21,21,1000,15,2,983,983,0,0,1001,57
gen22,22,1000,20,1,979,979,0,0,1021,58
gen23,23,1000,5,2,993,993,0,0,1026,60
gen24,24,1000,20,5,975,975,0,0,1046,65
gen25,25,1000,9,1,990,990,0,0,1055,66
gen26,26,1000,14,1,985,985,0,0,1069,67
gen27,27,1000,10,2,988,988,0,0,1079,69
gen28,28,1000,8,1,991,991,0,0,1087,70
gen29,29,1000,8,6,986,986,0,0,1095,76
gen30,30,1000,8,3,989,989,0,0,1103,79
gen31,31,1000,8,1,991,991,0,0,1111,80
gen32,32,1000,8,2,990,990,0,0,1119,82
gen33,33,1000,8,3,989,989,0,0,1127,85
gen34,34,1000,7,4,989,989,0,0,1134,89
gen35,35,1000,7,3,990,990,0,0,1141,92
gen36,36,1000,4,7,989,989,0,0,1145,99
gen37,37,1000,3,2,995,995,0,0,1148,101
gen38,38,1000,7,0,993,993,0,0,1155,101
gen39,39,1000,10,2,988,988,0,0,1165,103
gen40,40,1000,8,3,989,989,0,0,1173,106
gen41,41,1000,4,1,995,995,0,0,1177,107
gen42,42,1000,5,2,993,993,0,0,1182,109
gen43,43,1000,3,1,996,996,0,0,1185,110
gen44,44,1000,9,3,988,988,0,0,1194,113
gen45,45,1000,4,3,993,993,0,0,1198,116
gen46,46,1000,3,1,996,996,0,0,1201,117
gen47,47,1000,4,2,994,994,0,0,1205,119
gen48,48,1000,4,4,992,992,0,0,1209,123
gen49,49,1000,4,3,993,993,0,0,1213,126
gen50,50,1000,5,5,990,990,0,0,1218,131
gen51,51,1000,6,0,994,994,0,0,1224,131
gen52,52,1000,5,1,994,994,0,0,1229,132
gen53,53,1000,6,2,992,992,0,0,1235,134
gen54,54,1000,3,3,994,994,0,0,1238,137
gen55,55,1000,5,3,992,992,0,0,1243,140
gen56,56,1000,8,0,992,992,0,0,1251,140
gen57,57,1000,3,1,996,996,0,0,1254,141
gen58,58,1000,4,1,995,995,0,0,1258,142
gen59,59,1000,3,1,996,996,0,0,1261,143
gen60,60,1000,3,3,994,994,0,0,1264,146
