# relative_time, cycles_done, cur_item, corpus_count, pending_total, pending_favs, map_size, saved_crashes, saved_hangs, max_depth, execs_per_sec, total_execs, edges_found
61, 0, 68, 789, 641, 0, 11.78%, 0, 0, 7, 8138.94, 498555, 617
66, 0, 42, 793, 643, 0, 11.78%, 0, 0, 7, 8161.30, 540053, 617
71, 0, 139, 797, 641, 0, 11.88%, 0, 0, 7, 8162.87, 581088, 622
76, 0, 176, 818, 652, 0, 12.17%, 0, 0, 7, 8091.00, 622287, 637
82, 1, 804, 831, 657, 0, 12.36%, 0, 0, 7, 8063.34, 663456, 647
87, 1, 710, 843, 656, 0, 12.41%, 0, 0, 7, 8084.44, 704745, 650
92, 1, 158, 847, 651, 0, 12.41%, 0, 0, 7, 8112.22, 746048, 650
97, 1, 345, 851, 643, 0, 12.41%, 0, 0, 7, 8060.33, 786766, 650
102, 1, 11, 860, 639, 0, 12.41%, 0, 0, 7, 8100.46, 827933, 650
107, 1, 535, 869, 635, 0, 12.41%, 0, 0, 7, 8125.69, 868925, 650
112, 1, 465, 870, 624, 0, 12.41%, 0, 0, 7, 8135.21, 910305, 650
117, 1, 176, 873, 613, 0, 12.41%, 0, 0, 7, 8127.31, 951716, 650
122, 1, 150, 876, 603, 0, 12.41%, 0, 0, 7, 8133.01, 992918, 650
127, 1, 396, 883, 598, 0, 12.41%, 0, 0, 7, 8124.87, 1033988, 650
132, 2, 149, 883, 588, 0, 12.41%, 0, 0, 7, 8102.71, 1074808, 650
137, 2, 42, 884, 579, 0, 12.41%, 0, 0, 7, 8150.81, 1116219, 650
142, 2, 458, 885, 568, 0, 12.41%, 0, 0, 7, 8130.31, 1157002, 650
147, 2, 588, 892, 562, 0, 12.41%, 0, 0, 7, 8098.80, 1198111, 650
153, 2, 50, 897, 554, 0, 12.41%, 0, 0, 7, 8117.15, 1238971, 650
158, 2, 96, 898, 541, 0, 12.41%, 0, 0, 7, 8113.78, 1280037, 650
163, 2, 13, 899, 530, 0, 12.41%, 0, 0, 7, 8118.67, 1320983, 650
168, 2, 298, 900, 515, 0, 12.41%, 0, 0, 7, 8137.91, 1362361, 650
173, 2, 530, 900, 510, 0, 12.41%, 0, 0, 7, 8108.34, 1403561, 650
178, 3, 120, 902, 500, 0, 12.41%, 0, 0, 7, 8124.11, 1444511, 650
183, 3, 192, 906, 496, 0, 12.41%, 0, 0, 7, 8078.54, 1485447, 650
188, 3, 828, 907, 489, 0, 12.41%, 0, 0, 7, 8113.57, 1526563, 650
193, 3, 448, 907, 479, 0, 12.41%, 0, 0, 7, 8106.56, 1567873, 650
198, 3, 566, 909, 471, 0, 12.41%, 0, 0, 7, 8091.05, 1608934, 650
203, 3, 274, 910, 460, 0, 12.41%, 0, 0, 7, 8119.55, 1650123, 650
208, 3, 366, 914, 458, 0, 12.41%, 0, 0, 7, 8123.04, 1691141, 650
213, 3, 795, 915, 451, 0, 12.41%, 0, 0, 7, 8108.53, 1731897, 650
218, 3, 274, 920, 448, 0, 12.41%, 0, 0, 8, 8076.27, 1773295, 650
223, 4, 474, 922, 442, 0, 12.41%, 0, 0, 9, 8109.26, 1814357, 650
229, 4, 424, 923, 435, 0, 12.41%, 0, 0, 9, 8144.92, 1855617, 650
234, 4, 396, 925, 429, 0, 12.41%, 0, 0, 10, 8109.74, 1896584, 650
239, 4, 721, 925, 420, 0, 12.41%, 0, 0, 10, 8096.19, 1937353, 650
244, 4, 828, 928, 417, 0, 12.41%, 0, 0, 10, 8114.21, 1978345, 650
