generation,gen_index,num_candidates,best_candidate_edges,gen_union_edges,cumulative_union_edges
initial,-1,5,284,330,330
gen0,0,1000,345,545,545
gen1,1,1000,358,564,566
gen2,2,1000,355,567,576
gen3,3,1000,360,573,582
gen4,4,1000,365,579,588
gen5,5,1000,349,581,590
gen6,6,1000,381,582,592
gen7,7,1000,365,583,592
gen8,8,1000,359,583,594
gen9,9,1000,369,589,598
gen10,10,1000,372,591,600
gen11,11,1000,372,589,600
gen12,12,1000,365,589,600
gen13,13,1000,383,589,600
gen14,14,1000,383,588,600
gen15,15,1000,383,590,600
gen16,16,1000,394,592,601
gen17,17,1000,383,586,601
gen18,18,1000,383,590,601
gen19,19,1000,370,590,602
gen20,20,1000,376,590,602
gen21,21,1000,383,593,602
gen22,22,1000,382,592,602
gen23,23,1000,395,587,602
gen24,24,1000,385,590,602
gen25,25,1000,383,590,604
gen26,26,1000,383,593,604
gen27,27,1000,383,593,607
gen28,28,1000,392,597,607
gen29,29,1000,383,594,607
gen30,30,1000,365,593,610
gen31,31,1000,388,594,610
gen32,32,1000,383,597,610
gen33,33,1000,383,597,610
gen34,34,1000,387,595,610
gen35,35,1000,372,593,610
gen36,36,1000,383,589,611
gen37,37,1000,374,596,611
gen38,38,1000,386,592,611
gen39,39,1000,388,592,612
gen40,40,1000,383,590,612
gen41,41,1000,398,595,612
gen42,42,1000,374,598,615
gen43,43,1000,383,597,615
gen44,44,1000,385,600,616
gen45,45,1000,384,594,616
gen46,46,1000,379,599,616
gen47,47,1000,384,599,616
gen48,48,1000,387,595,616
gen49,49,1000,382,603,622
gen50,50,1000,384,600,622
gen51,51,1000,383,598,622
gen52,52,1000,382,602,622
gen53,53,1000,383,607,623
gen54,54,1000,383,601,623
gen55,55,1000,385,599,623
gen56,56,1000,383,608,624
gen57,57,1000,382,594,624
gen58,58,1000,388,602,624
gen59,59,1000,388,606,624
gen60,60,1000,388,606,624
gen61,61,1000,398,599,624
gen62,62,1000,406,602,624
gen63,63,1000,382,600,624
gen64,64,1000,395,597,624
gen65,65,1000,390,599,624
gen66,66,1000,383,599,624
gen67,67,1000,391,595,624
gen68,68,1000,398,597,624
gen69,69,1000,387,601,625
