generation,gen_index,candidates,added,replaced,discarded,discarded_redundant,discarded_no_coverage,discarded_missing,cumulative_added,cumulative_replaced
initial,-1,5,5,0,0,0,0,0,5,0
gen0,0,1000,61,12,927,927,0,0,66,12
gen1,1,1000,13,25,962,962,0,0,79,37
gen2,2,1000,6,17,977,977,0,0,85,54
gen3,3,1000,3,23,974,974,0,0,88,77
gen4,4,1000,4,25,971,971,0,0,92,102
gen5,5,1000,2,19,979,979,0,0,94,121
gen6,6,1000,2,17,981,981,0,0,96,138
gen7,7,1000,0,15,985,985,0,0,96,153
gen8,8,1000,2,12,986,986,0,0,98,165
gen9,9,1000,2,17,981,981,0,0,100,182
gen10,10,1000,2,11,987,987,0,0,102,193
gen11,11,1000,0,11,989,989,0,0,102,204
gen12,12,1000,0,12,988,988,0,0,102,216
gen13,13,1000,0,18,982,982,0,0,102,234
gen14,14,1000,0,12,988,988,0,0,102,246
gen15,15,1000,0,12,988,988,0,0,102,258
gen16,16,1000,1,14,985,985,0,0,103,272
gen17,17,1000,0,14,986,986,0,0,103,286
gen18,18,1000,0,11,989,989,0,0,103,297
gen19,19,1000,1,10,989,989,0,0,104,307
gen20,20,1000,0,11,989,989,0,0,104,318
gen21,21,1000,0,8,992,992,0,0,104,326
gen22,22,1000,0,16,984,984,0,0,104,342
gen23,23,1000,0,12,988,988,0,0,104,354
gen24,24,1000,0,8,992,992,0,0,104,362
gen25,25,1000,1,11,988,988,0,0,105,373
gen26,26,1000,0,8,992,992,0,0,105,381
gen27,27,1000,1,11,988,988,0,0,106,392
gen28,28,1000,0,5,995,995,0,0,106,397
gen29,29,1000,0,8,992,992,0,0,106,405
gen30,30,1000,2,5,993,993,0,0,108,410
gen31,31,1000,0,6,994,994,0,0,108,416
gen32,32,1000,0,5,995,995,0,0,108,421
gen33,33,1000,0,9,991,991,0,0,108,430
gen34,34,1000,0,6,994,994,0,0,108,436
gen35,35,1000,0,5,995,995,0,0,108,441
gen36,36,1000,1,11,988,988,0,0,109,452
gen37,37,1000,0,8,992,992,0,0,109,460
gen38,38,1000,0,12,988,988,0,0,109,472
gen39,39,1000,1,5,994,994,0,0,110,477
gen40,40,1000,0,3,997,997,0,0,110,480
gen41,41,1000,0,6,994,994,0,0,110,486
gen42,42,1000,1,4,995,995,0,0,111,490
gen43,43,1000,0,5,995,995,0,0,111,495
gen44,44,1000,1,4,995,995,0,0,112,499
gen45,45,1000,0,8,992,992,0,0,112,507
gen46,46,1000,0,8,992,992,0,0,112,515
gen47,47,1000,0,7,993,993,0,0,112,522
gen48,48,1000,0,6,994,994,0,0,112,528
gen49,49,1000,1,5,994,994,0,0,113,533
gen50,50,1000,0,2,998,998,0,0,113,535
gen51,51,1000,0,2,998,998,0,0,113,537
gen52,52,1000,0,5,995,995,0,0,113,542
gen53,53,1000,1,5,994,994,0,0,114,547
gen54,54,1000,0,1,999,999,0,0,114,548
gen55,55,1000,0,3,997,997,0,0,114,551
gen56,56,1000,1,2,997,997,0,0,115,553
gen57,57,1000,0,1,999,999,0,0,115,554
gen58,58,1000,0,3,997,997,0,0,115,557
gen59,59,1000,0,6,994,994,0,0,115,563
gen60,60,1000,0,10,990,990,0,0,115,573
gen61,61,1000,0,8,992,992,0,0,115,581
gen62,62,1000,0,5,995,995,0,0,115,586
gen63,63,1000,0,5,995,995,0,0,115,591
gen64,64,1000,0,2,998,998,0,0,115,593
gen65,65,1000,0,1,999,999,0,0,115,594
gen66,66,1000,0,3,997,997,0,0,115,597
gen67,67,1000,0,5,995,995,0,0,115,602
gen68,68,1000,0,2,998,998,0,0,115,604
gen69,69,1000,1,1,998,998,0,0,116,605
