# relative_time, cycles_done, cur_item, corpus_count, pending_total, pending_favs, map_size, saved_crashes, saved_hangs, max_depth, execs_per_sec, total_execs, edges_found
61, 0, 712, 855, 853, 305, 14.91%, 0, 0, 2, 159.06, 19715, 19885
66, 0, 712, 857, 855, 305, 14.91%, 0, 0, 2, 159.04, 20516, 19889
72, 0, 712, 858, 856, 305, 14.91%, 0, 0, 2, 159.16, 21341, 19889
77, 0, 712, 860, 858, 305, 14.91%, 0, 0, 2, 159.09, 22166, 19890
82, 0, 712, 862, 860, 305, 14.92%, 0, 0, 2, 159.13, 22991, 19897
87, 0, 712, 863, 861, 305, 14.92%, 0, 0, 2, 159.10, 23816, 19899
92, 0, 837, 866, 863, 329, 14.92%, 0, 0, 2, 159.46, 24619, 19901
97, 0, 654, 882, 878, 328, 14.96%, 0, 0, 2, 156.21, 25415, 19958
103, 0, 654, 937, 933, 328, 15.02%, 0, 0, 2, 155.36, 26213, 20042
108, 0, 654, 984, 980, 328, 15.09%, 0, 0, 2, 155.49, 27029, 20128
113, 0, 654, 1025, 1021, 328, 15.16%, 0, 0, 2, 153.72, 27803, 20222
118, 0, 654, 1065, 1061, 328, 15.19%, 0, 0, 2, 154.91, 28589, 20258
123, 0, 654, 1097, 1093, 328, 15.22%, 0, 0, 2, 155.62, 29411, 20309
128, 0, 654, 1127, 1123, 328, 15.25%, 0, 0, 2, 153.71, 30200, 20342
134, 0, 654, 1153, 1149, 328, 15.27%, 0, 0, 2, 155.65, 31022, 20371
139, 0, 654, 1174, 1170, 328, 15.28%, 0, 0, 2, 156.07, 31814, 20387
144, 0, 654, 1193, 1189, 328, 15.30%, 0, 0, 2, 156.29, 32609, 20403
149, 0, 654, 1211, 1207, 328, 15.32%, 0, 0, 2, 156.51, 33419, 20433
154, 0, 654, 1226, 1222, 328, 15.34%, 0, 0, 2, 155.27, 34208, 20460
159, 0, 654, 1241, 1237, 328, 15.34%, 0, 0, 2, 154.67, 34994, 20465
164, 0, 654, 1251, 1247, 328, 15.35%, 0, 0, 2, 156.39, 35780, 20479
169, 0, 654, 1269, 1265, 328, 15.36%, 0, 0, 2, 156.37, 36563, 20494
174, 0, 654, 1283, 1279, 328, 15.38%, 0, 0, 2, 156.39, 37349, 20515
179, 0, 654, 1298, 1294, 328, 15.39%, 0, 0, 2, 155.47, 38123, 20531
184, 0, 654, 1313, 1309, 328, 15.41%, 0, 0, 2, 156.51, 38921, 20553
189, 0, 654, 1328, 1324, 328, 15.41%, 0, 0, 2, 156.52, 39719, 20559
195, 0, 654, 1346, 1342, 328, 15.43%, 0, 0, 2, 156.66, 40547, 20588
200, 0, 654, 1356, 1352, 328, 15.46%, 0, 0, 2, 156.94, 41342, 20620
205, 0, 654, 1366, 1362, 328, 15.46%, 0, 0, 2, 156.95, 42155, 20625
210, 0, 654, 1372, 1368, 328, 15.47%, 0, 0, 2, 155.94, 42959, 20634
215, 0, 654, 1380, 1376, 328, 15.47%, 0, 0, 2, 157.02, 43760, 20640
220, 0, 852, 1392, 1387, 476, 15.48%, 0, 0, 2, 156.85, 44560, 20654
225, 0, 852, 1395, 1390, 476, 15.48%, 0, 0, 3, 158.91, 45385, 20656
231, 0, 830, 1397, 1391, 474, 15.49%, 0, 0, 3, 157.56, 46179, 20659
