generation,gen_index,num_candidates,best_candidate_edges,gen_union_edges,cumulative_union_edges
gen0,0,200,15099,,15389
gen1,1,200,15230,,16187
gen2,2,200,15282,,16642
gen3,3,200,15328,,16642
gen4,4,200,15221,,16678
gen5,5,200,15340,,16672
gen6,6,200,15281,,16827
gen7,7,200,15256,,16958
gen8,8,200,15305,,17040
gen9,9,200,15368,,17070
gen10,10,200,15690,,17649
gen11,11,200,16039,,17819
gen12,12,200,16134,,18142
gen13,13,200,15726,,18353
gen14,14,200,16299,,18475
gen15,15,200,16193,,18520
gen16,16,200,16599,,18376
gen17,17,197,16286,,18801
gen18,18,198,16581,,18869
gen19,19,199,16592,,18901
gen20,20,199,16201,,18859
gen21,21,200,16623,,18906
gen22,22,198,16786,,19003
gen23,23,199,17058,,19152
gen24,24,191,16963,,19226
gen25,25,197,16564,,19275
gen26,26,194,16745,,19251
gen27,27,196,16584,,19228
gen28,28,195,16679,,19183
gen29,29,198,17033,,19181
gen30,30,197,16849,,19343
gen31,31,199,16835,,19435
gen32,32,199,16895,,19555
gen33,33,198,16780,,19588
gen34,34,197,16630,,19569
gen35,35,199,16939,,19629
gen36,36,194,16780,,19662
gen37,37,196,16947,,19640
gen38,38,197,17046,,19577
gen39,39,197,16924,,19697
gen40,40,199,16910,,19599
gen41,41,197,17531,,19788
gen42,42,183,16871,,19803
gen43,43,180,16865,,19694
gen44,44,184,16933,,19675
gen45,45,177,16828,,19748
gen46,46,187,16921,,19681
gen47,47,177,16876,,19507
gen48,48,182,16896,,19641
gen49,49,177,16768,,19742
gen50,50,185,16740,,19745
gen51,51,184,16862,,19780
gen52,52,176,16992,,19844
gen53,53,184,16938,,19908
gen54,54,183,16888,,19965
gen55,55,186,16930,,20054
gen56,56,183,16770,,20120
gen57,57,185,17217,,20042
gen58,58,165,17217,,19995
gen59,59,165,17191,,20012
gen60,60,165,17272,,19951
gen61,61,163,17128,,20041
gen62,62,164,17622,,20076
gen63,63,167,17283,,20080
gen64,64,158,17296,,20107
gen65,65,181,17300,,20132
gen66,66,180,17363,,20078
gen67,67,180,17587,,20193
gen68,68,178,17306,,20274
gen69,69,181,17761,,20167
gen70,70,182,17256,,20283
gen71,71,180,17251,,20123
gen72,72,177,17561,,20249
gen73,73,181,17763,,20205
gen74,74,196,17357,,20238
gen75,75,192,17251,,20254
gen76,76,192,17562,,20346
gen77,77,196,17616,,20360
gen78,78,190,17615,,20261
gen79,79,194,17709,,20302
gen80,80,191,17316,,20152
gen81,81,195,17267,,20161
gen82,82,193,17573,,20415
gen83,83,196,17616,,20208
gen84,84,193,17580,,20407
gen85,85,195,17187,,20247
gen86,86,195,17146,,20206
gen87,87,196,17654,,20266
gen88,88,194,17570,,20340
gen89,89,195,17612,,20224
gen90,90,195,17514,,20269
gen91,91,196,17517,,20436
gen92,92,197,17285,,20372
gen93,93,195,17217,,20396
gen94,94,195,17509,,20399
