# relative_time, cycles_done, cur_item, corpus_count, pending_total, pending_favs, map_size, saved_crashes, saved_hangs, max_depth, execs_per_sec, total_execs, edges_found
61, 0, 124, 546, 416, 0, 11.78%, 0, 0, 5, 7876.19, 466149, 617
66, 0, 187, 549, 419, 0, 11.78%, 0, 0, 5, 7908.32, 506594, 617
71, 0, 83, 554, 421, 0, 11.78%, 0, 0, 5, 7908.75, 547193, 617
76, 0, 187, 557, 422, 0, 11.78%, 0, 0, 5, 7895.34, 587552, 617
81, 1, 38, 560, 424, 0, 11.78%, 0, 0, 5, 7886.67, 627909, 617
87, 1, 130, 563, 424, 0, 11.78%, 0, 0, 5, 7893.16, 668249, 617
92, 1, 564, 570, 424, 0, 11.78%, 0, 0, 5, 7874.51, 708929, 617
97, 1, 262, 582, 433, 0, 11.78%, 0, 0, 6, 7868.56, 749153, 617
102, 1, 15, 593, 437, 0, 11.78%, 0, 0, 6, 7874.96, 789564, 617
107, 1, 198, 603, 442, 0, 11.78%, 0, 0, 6, 7854.76, 829490, 617
112, 1, 102, 604, 441, 0, 11.78%, 0, 0, 6, 7886.70, 869735, 617
117, 1, 600, 609, 444, 0, 11.78%, 0, 0, 6, 7894.27, 910390, 617
122, 1, 109, 617, 450, 0, 11.78%, 0, 0, 6, 7867.68, 950525, 617
128, 1, 192, 619, 450, 0, 11.78%, 0, 0, 6, 7871.67, 990733, 617
133, 1, 502, 630, 459, 0, 11.78%, 0, 0, 7, 7845.92, 1030733, 617
138, 1, 109, 630, 453, 0, 11.78%, 0, 0, 7, 7863.88, 1070717, 617
143, 1, 120, 630, 447, 0, 11.78%, 0, 0, 7, 7861.13, 1110646, 617
148, 1, 87, 632, 443, 0, 11.78%, 0, 0, 7, 7882.20, 1150622, 617
153, 1, 109, 633, 437, 0, 11.78%, 0, 0, 7, 7878.16, 1190934, 617
158, 1, 167, 633, 432, 0, 11.78%, 0, 0, 7, 7891.26, 1231463, 617
163, 2, 120, 635, 427, 0, 11.78%, 0, 0, 7, 7868.64, 1272167, 617
168, 2, 177, 636, 423, 0, 11.78%, 0, 0, 7, 7896.34, 1312524, 617
173, 2, 87, 636, 421, 0, 11.78%, 0, 0, 7, 7893.56, 1352668, 617
179, 2, 252, 637, 419, 0, 11.78%, 0, 0, 7, 7883.75, 1392782, 617
184, 2, 192, 638, 418, 0, 11.78%, 0, 0, 7, 7877.82, 1433099, 617
189, 2, 59, 638, 414, 0, 11.78%, 0, 0, 7, 7889.47, 1473042, 617
194, 2, 106, 641, 414, 0, 11.78%, 0, 0, 8, 7883.28, 1513339, 617
199, 2, 80, 642, 412, 0, 11.78%, 0, 0, 8, 7900.76, 1553709, 617
204, 2, 85, 642, 412, 0, 11.78%, 0, 0, 8, 7884.88, 1594124, 617
209, 2, 120, 642, 408, 0, 11.78%, 0, 0, 8, 7873.88, 1634305, 617
214, 2, 107, 642, 404, 0, 11.78%, 0, 0, 8, 7900.26, 1674419, 617
219, 2, 191, 661, 417, 0, 12.03%, 0, 0, 8, 7817.24, 1714535, 630
224, 2, 106, 665, 415, 0, 12.03%, 0, 0, 8, 7872.05, 1754719, 630
230, 2, 198, 667, 415, 0, 12.03%, 0, 0, 8, 7864.12, 1795128, 630
235, 2, 87, 668, 411, 0, 12.03%, 0, 0, 8, 7893.49, 1835402, 630
240, 2, 102, 669, 409, 0, 12.03%, 0, 0, 8, 7857.99, 1875556, 630
245, 3, 645, 672, 408, 0, 12.03%, 0, 0, 9, 7890.45, 1916147, 630
250, 3, 204, 675, 410, 0, 12.03%, 0, 0, 9, 7906.97, 1956274, 630
255, 3, 9, 676, 405, 0, 12.03%, 0, 0, 9, 7898.74, 1996477, 630
260, 3, 83, 677, 400, 0, 12.03%, 0, 0, 9, 7869.38, 2036705, 630
265, 3, 610, 677, 397, 0, 12.03%, 0, 0, 9, 7854.19, 2076632, 630
270, 3, 160, 685, 401, 0, 12.09%, 0, 0, 9, 7883.64, 2117090, 633
276, 3, 87, 688, 402, 0, 12.09%, 0, 0, 9, 7886.80, 2157200, 633
281, 3, 87, 691, 399, 0, 12.09%, 0, 0, 9, 7886.46, 2197379, 633
286, 3, 220, 692, 398, 0, 12.09%, 0, 0, 9, 7893.76, 2237730, 633
291, 3, 252, 693, 395, 0, 12.09%, 0, 0, 9, 7895.81, 2278248, 633
296, 3, 689, 696, 396, 0, 12.09%, 0, 0, 9, 7873.33, 2318644, 633
301, 3, 107, 701, 396, 0, 12.09%, 0, 0, 10, 7696.89, 2358324, 633
306, 3, 645, 702, 393, 0, 12.09%, 0, 0, 11, 7813.35, 2398230, 633
311, 3, 192, 703, 392, 0, 12.09%, 0, 0, 11, 7882.06, 2438597, 633
316, 3, 129, 703, 391, 0, 12.09%, 0, 0, 11, 7892.55, 2478943, 633
322, 3, 87, 703, 387, 0, 12.09%, 0, 0, 11, 7892.51, 2518945, 633
327, 3, 10, 704, 384, 0, 12.09%, 0, 0, 11, 7886.10, 2559194, 633
332, 4, 287, 705, 383, 0, 12.09%, 0, 0, 11, 7887.16, 2599411, 633
337, 4, 142, 705, 381, 0, 12.09%, 0, 0, 11, 7890.87, 2639863, 633
342, 4, 63, 705, 380, 0, 12.09%, 0, 0, 11, 7875.02, 2680345, 633
347, 4, 87, 705, 377, 0, 12.09%, 0, 0, 11, 7887.01, 2720590, 633
352, 4, 198, 706, 372, 0, 12.09%, 0, 0, 11, 7852.79, 2760838, 633
357, 4, 28, 706, 371, 0, 12.09%, 0, 0, 11, 7857.72, 2800974, 633
362, 4, 10, 708, 372, 0, 12.09%, 0, 0, 11, 7874.15, 2841276, 633
368, 4, 198, 708, 371, 0, 12.09%, 0, 0, 11, 7880.07, 2881492, 633
373, 4, 107, 708, 368, 0, 12.09%, 0, 0, 11, 7904.60, 2921992, 633
378, 4, 109, 708, 364, 0, 12.09%, 0, 0, 11, 7886.72, 2962144, 633
383, 4, 109, 709, 359, 0, 12.09%, 0, 0, 11, 7868.12, 3002604, 633
388, 4, 55, 711, 359, 0, 12.09%, 0, 0, 11, 7884.11, 3042815, 633
393, 4, 25, 711, 356, 0, 12.09%, 0, 0, 11, 7875.17, 3083278, 633
398, 4, 167, 712, 355, 0, 12.09%, 0, 0, 11, 7894.16, 3123568, 633
403, 4, 198, 714, 355, 0, 12.09%, 0, 0, 11, 7871.85, 3163717, 633
408, 4, 87, 715, 354, 0, 12.09%, 0, 0, 11, 7881.27, 3203890, 633
414, 5, 187, 715, 349, 0, 12.09%, 0, 0, 11, 7916.18, 3244337, 633
419, 5, 55, 715, 348, 0, 12.09%, 0, 0, 11, 7903.65, 3284765, 633
424, 5, 10, 716, 346, 0, 12.09%, 0, 0, 11, 7901.86, 3325111, 633
429, 5, 105, 716, 344, 0, 12.09%, 0, 0, 11, 7887.63, 3365274, 633
434, 5, 120, 716, 339, 0, 12.09%, 0, 0, 11, 7898.06, 3405699, 633
