generation,gen_index,num_candidates,best_candidate_edges,gen_union_edges,cumulative_union_edges
gen0,0,200,221,,278
gen1,1,200,322,,389
gen2,2,200,336,,419
gen3,3,200,329,,440
gen4,4,200,335,,475
gen5,5,178,329,,499
gen6,6,200,393,,506
gen7,7,200,424,,533
gen8,8,200,417,,540
gen9,9,200,416,,553
gen10,10,200,412,,543
gen11,11,200,423,,546
gen12,12,197,424,,548
gen13,13,200,429,,553
gen14,14,200,410,,547
gen15,15,200,432,,561
gen16,16,200,435,,565
gen17,17,197,424,,567
gen18,18,200,426,,563
gen19,19,200,435,,565
gen20,20,200,426,,573
gen21,21,200,424,,568
gen22,22,199,409,,570
gen23,23,200,445,,568
gen24,24,200,438,,574
gen25,25,200,453,,569
gen26,26,200,436,,570
gen27,27,200,448,,571
gen28,28,200,451,,570
gen29,29,200,457,,569
gen30,30,200,454,,567
gen31,31,200,456,,567
gen32,32,200,452,,571
gen33,33,200,453,,573
gen34,34,200,448,,572
gen35,35,200,448,,572
gen36,36,200,457,,567
gen37,37,199,446,,572
gen38,38,200,456,,574
gen39,39,200,453,,569
gen40,40,200,444,,571
gen41,41,200,456,,574
gen42,42,200,455,,566
gen43,43,200,447,,571
gen44,44,200,448,,574
gen45,45,200,451,,571
gen46,46,200,452,,570
gen47,47,200,450,,571
gen48,48,199,456,,569
gen49,49,200,449,,575
gen50,50,200,457,,576
gen51,51,200,456,,569
gen52,52,200,447,,565
gen53,53,200,451,,568
gen54,54,200,448,,575
gen55,55,200,453,,568
gen56,56,200,451,,569
gen57,57,200,453,,577
gen58,58,200,451,,568
gen59,59,200,449,,570
gen60,60,200,451,,572
gen61,61,200,455,,574
gen62,62,200,448,,573
gen63,63,200,448,,580
gen64,64,197,443,,569
gen65,65,200,453,,574
gen66,66,200,450,,571
gen67,67,200,452,,573
gen68,68,200,451,,571
gen69,69,198,451,,578
gen70,70,200,449,,570
gen71,71,200,447,,570
gen72,72,200,453,,574
gen73,73,200,448,,577
gen74,74,200,450,,573
gen75,75,200,454,,575
gen76,76,200,455,,574
gen77,77,199,452,,574
gen78,78,200,452,,572
gen79,79,199,448,,575
gen80,80,200,452,,574
gen81,81,200,451,,577
gen82,82,200,450,,574
gen83,83,200,452,,574
gen84,84,200,454,,575
gen85,85,200,460,,570
gen86,86,199,458,,569
gen87,87,200,442,,571
gen88,88,200,458,,571
gen89,89,199,453,,574
gen90,90,134,447,,571
gen91,91,200,447,,576
gen92,92,200,450,,576
gen93,93,200,451,,566
gen94,94,199,442,,571
gen95,95,200,448,,577
gen96,96,199,447,,572
gen97,97,200,453,,576
gen98,98,200,451,,577
gen99,99,200,456,,576
gen100,100,199,454,,570
gen101,101,200,446,,571
gen102,102,200,453,,571
gen103,103,200,448,,574
gen104,104,200,447,,577
gen105,105,200,445,,572
gen106,106,200,449,,569
gen107,107,200,452,,578
gen108,108,200,451,,571
gen109,109,200,451,,572
gen110,110,200,450,,576
gen111,111,200,448,,575
gen112,112,199,450,,572
gen113,113,200,448,,575
gen114,114,200,452,,572
gen115,115,200,452,,571
gen116,116,200,451,,574
gen117,117,200,452,,576
gen118,118,200,443,,577
gen119,119,200,444,,574
gen120,120,200,453,,572
gen121,121,200,447,,573
gen122,122,200,454,,573
gen123,123,200,450,,576
gen124,124,200,445,,575
gen125,125,200,456,,574
gen126,126,200,452,,571
gen127,127,200,452,,568
gen128,128,200,450,,572
gen129,129,200,443,,577
gen130,130,200,451,,576
gen131,131,198,454,,568
gen132,132,199,453,,572
gen133,133,200,451,,574
gen134,134,200,448,,575
gen135,135,200,447,,571
gen136,136,200,451,,575
gen137,137,200,448,,572
gen138,138,200,450,,572
gen139,139,200,451,,576
gen140,140,200,457,,578
gen141,141,200,450,,574
gen142,142,199,452,,573
gen143,143,200,451,,574
gen144,144,198,451,,573
gen145,145,200,442,,572
gen146,146,200,441,,570
gen147,147,200,454,,572
gen148,148,200,443,,576
gen149,149,200,449,,575
gen150,150,200,451,,570
gen151,151,199,448,,573
gen152,152,200,448,,577
gen153,153,200,448,,570
gen154,154,200,450,,571
gen155,155,200,448,,576
gen156,156,200,449,,577
gen157,157,200,443,,573
gen158,158,200,451,,569
gen159,159,200,449,,577
gen160,160,200,445,,572
gen161,161,199,453,,571
gen162,162,200,442,,574
gen163,163,200,452,,573
gen164,164,200,452,,573
gen165,165,200,449,,575
gen166,166,200,452,,575
gen167,167,200,446,,578
gen168,168,200,451,,577
gen169,169,200,448,,572
gen170,170,200,444,,570
gen171,171,200,447,,575
gen172,172,200,454,,579
gen173,173,200,447,,570
gen174,174,200,455,,571
gen175,175,200,453,,577
gen176,176,200,448,,573
gen177,177,200,452,,576
gen178,178,200,450,,575
gen179,179,200,448,,574
gen180,180,200,457,,575
gen181,181,200,445,,569
gen182,182,200,455,,576
gen183,183,200,459,,573
gen184,184,200,450,,569
gen185,185,200,447,,571
gen186,186,200,450,,574
gen187,187,200,453,,579
gen188,188,200,453,,577
gen189,189,200,447,,576
gen190,190,200,451,,583
gen191,191,199,457,,573
gen192,192,200,448,,574
gen193,193,199,448,,576
gen194,194,200,453,,579
gen195,195,200,449,,575
gen196,196,200,446,,577
gen197,197,200,451,,574
gen198,198,195,449,,576
gen199,199,200,453,,575
gen200,200,200,453,,577
gen201,201,200,446,,575
gen202,202,200,445,,574
gen203,203,200,451,,576
gen204,204,200,455,,573
gen205,205,200,453,,575
gen206,206,200,449,,576
gen207,207,200,444,,578
gen208,208,200,449,,574
gen209,209,200,447,,577
gen210,210,199,452,,574
gen211,211,200,448,,578
gen212,212,200,450,,576
gen213,213,200,446,,570
gen214,214,200,450,,574
gen215,215,200,448,,575
gen216,216,199,447,,572
gen217,217,200,452,,575
gen218,218,200,448,,576
gen219,219,200,451,,574
gen220,220,199,449,,577
gen221,221,199,448,,571
gen222,222,200,444,,574
gen223,223,200,446,,571
gen224,224,200,448,,575
gen225,225,200,453,,570
gen226,226,200,450,,576
gen227,227,200,447,,580
gen228,228,188,455,,579
gen229,229,200,450,,579
gen230,230,200,448,,577
gen231,231,200,448,,575
gen232,232,200,452,,576
gen233,233,200,450,,575
gen234,234,200,449,,578
gen235,235,199,450,,579
gen236,236,200,445,,575
gen237,237,200,439,,577
gen238,238,199,451,,575
gen239,239,200,446,,572
gen240,240,200,452,,573
gen241,241,200,450,,578
gen242,242,200,454,,576
gen243,243,199,445,,577
gen244,244,200,446,,576
gen245,245,199,455,,576
gen246,246,200,446,,580
gen247,247,200,447,,577
gen248,248,200,444,,579
gen249,249,200,446,,575
gen250,250,200,440,,575
gen251,251,200,451,,573
gen252,252,200,456,,577
gen253,253,200,447,,576
gen254,254,200,449,,579
gen255,255,200,446,,578
gen256,256,200,449,,580
gen257,257,200,453,,577
gen258,258,200,449,,579
gen259,259,200,443,,574
gen260,260,200,451,,580
gen261,261,200,453,,582
gen262,262,200,449,,578
gen263,263,200,452,,579
gen264,264,200,453,,584
gen265,265,200,451,,574
gen266,266,200,451,,580
gen267,267,199,451,,574
gen268,268,200,450,,579
gen269,269,200,452,,573
gen270,270,200,455,,573
gen271,271,200,451,,577
gen272,272,200,447,,578
gen273,273,200,448,,581
gen274,274,200,450,,580
gen275,275,200,452,,578
gen276,276,200,451,,579
gen277,277,200,447,,578
gen278,278,200,453,,573
gen279,279,199,451,,573
gen280,280,200,455,,580
gen281,281,200,450,,579
gen282,282,200,457,,576
gen283,283,200,450,,576
gen284,284,200,452,,572
gen285,285,200,453,,582
gen286,286,200,454,,578
gen287,287,200,453,,573
gen288,288,200,443,,575
gen289,289,200,454,,579
gen290,290,200,444,,578
gen291,291,200,463,,580
gen292,292,200,447,,578
gen293,293,200,442,,578
gen294,294,200,452,,574
gen295,295,200,450,,576
gen296,296,200,451,,573
